country,year_date,tomatoes,oranges,grapes,bananas,avocados,apples
Portugal,1961,818936,6895000,386299,198455,24740,687224
Portugal,1962,1330080,8635000,309855,204724,150294,361600
Portugal,1963,626960,6570000,386299,226521,24740,687224
Portugal,1964,834968,6095000,187800,223061,39683.8,457576
Portugal,1965,640785,6782000,287537,189900,32513.8,539324
Portugal,1966,814376,6982000,386299,148715,24740,687224
Portugal,1967,755596,7757000,354435,214277,18225.8,519896
Portugal,1968,768532,8118000,325815,241729,74737,386560
Portugal,1969,910978,7026000,216135,207702,38045.8,370086
Portugal,1970,683282,7120000,168135,172550,34845.8,366604
Portugal,1971,749128,8082000,325815,287895,74737,386560
Portugal,1972,706200,9972000,308056,305740,105732,445889
Portugal,1973,701811,9370000,309855,295265,150294,361600
Portugal,1974,627177,10371000,308056,291292,105732,445889
Portugal,1975,679807,10366000,308056,299900,105732,445889
Portugal,1976,464040,11514000,305008,274066,41359.2,670038
Portugal,1977,436550,12401000,65366.8,257559,43899.2,515078
Portugal,1978,493720,8912180,325815,356017,74737,386560
Portugal,1979,500200,11790700,305008,356238,41359.2,670038
Portugal,1980,1600000,11086700,308300,342629,42421.2,549520
Portugal,1981,1580000,11225500,308300,359600,42421.2,549520
Portugal,1982,1559050,10473500,283769,337144,78967,413001
Portugal,1983,1998330,11677300,283769,86200,78967,413001
Portugal,1984,1557650,8393270,283769,84400,78967,413001
Portugal,1985,1608310,8166480,27551,93600,128569,111061
Portugal,1986,1647770,6917290,2457910,102000,4395.09,385880
Portugal,1987,1561750,9140790,291849,102000,67473,438609
Portugal,1988,1508970,8280780,312237,134500,60060,380115
Portugal,1989,1713850,7477920,316123,89000,57444.9,382848
Portugal,1990,1699720,8078490,316123,73400,57444.9,382848
Portugal,1991,1704100,8268000,123950,97200,92184.9,50319.2
Portugal,1992,1661630,7500600,316123,136500,57444.9,382848
Portugal,1993,1854520,6139830,207140,90000,10262,4823770
Portugal,1994,1927000,5763340,422980,78000,10869,4935410
Portugal,1995,1791010,5522940,420516,74000,20604,4123140
Portugal,1996,1938710,4615760,420516,86800,20604,4123140
Portugal,1997,2170390,3535340,207140,91000,10262,4823770
Portugal,1998,2049640,4923290,227026,143000,11087,3891910
Portugal,1999,2395400,4766350,422820,149000,10869,5029040
Portugal,2000,2623820,4015200,15568,147000,367,5236180
Portugal,2001,2644220,4733110,229694,146000,11087,5018980
Portugal,2002,2819190,5083620,420516,148000,20604,4123140
Portugal,2003,2840530,5413510,35010,150000,19480,3157050
Portugal,2004,2335770,5414210,37226,150000,5146,4166550
Portugal,2005,2668990,6208320,35010,152000,19480,3157050
Portugal,2006,2899660,6604320,10492,154000,25678.6,3144450
Portugal,2007,3014990,7290040,7238,155000,36554,2118090
Portugal,2008,2975590,7573270,47029.6,155500,73446.8,24086300
Portugal,2009,3059890,7729440,47029.6,159000,73446.8,24086300
Portugal,2010,0,7821820,16240.6,162500,73823.9,7913990
Portugal,2011,0,8299100,7238,148700,44064.6,2184490
Portugal,2012,0,8770710,21643.4,164500,37871.4,9882000
Portugal,2013,0,10059800,50392,150000,83251.7,304477
Portugal,2014,0,10962300,73.8,158800,74058.1,307733
Portugal,2015,0,11569200,70219,159400,113746,103986
Portugal,2016,0,12834800,70219,146680,113746,103986
Portugal,2017,0,13332100,70219,130180,113746,103986
Portugal,2018,0,14032200,48085.8,128180,125447,102609
Portugal,2019,8000,14871900,48085.8,604100,125447,102609
Portugal,2020,10000,17153100,48085.8,835800,125447,102609
Portugal,2021,15000,17928900,48085.8,749920,125447,102609
Spain,1961,19300,443454,982209,679187,35969.7,1534820
Spain,1962,18500,316362,1266020,231578,50528.8,1298310
Spain,1963,17500,451126,2160100,242868,70756.2,773632
Spain,1964,15500,451126,2160100,242868,78916.4,773632
Spain,1965,18800,115983,896432,575414,152357,546801
Spain,1966,19500,211853,851864,809276,70500.5,754239
Spain,1967,18100,211853,851864,809276,70500.5,754239
Spain,1968,18000,40841.6,739836,79080.6,105240,239224
Spain,1969,14900,341721,1806340,59765.6,114215,162234
Spain,1970,16700,105580,910405,15139.8,225316,95637
Spain,1971,18500,342548,1533840,53356.7,146818,68382.2
Spain,1972,16500,91780,671817,56408.7,168132,66989.4
Spain,1973,19200,91780,671817,56408.7,168132,66989.4
Spain,1974,18223,91780,671817,56408.7,168132,66989.4
Spain,1975,19018,83340,720225,33539.8,200206,105029
Spain,1976,19177,12961.7,868966,87400,70520.6,222422
Spain,1977,18887,87780,839742,33920.7,186604,64662.4
Spain,1978,20791,91780,671817,56408.7,168132,66989.4
Spain,1979,20394,261440,728815,4218550,91493.2,121695
Spain,1980,20621,231000,571755,4215670,64148.4,134054
Spain,1981,21352,260840,727968,4216810,97488.8,119081
Spain,1982,20208,231000,571755,4215670,64148.4,134054
Spain,1983,18926,83340,720225,33539.8,200206,105029
Spain,1984,20835,250642,611956,4216890,60175,135680
Spain,1985,23113,711147,390448,3031,35836.3,24700
Spain,1986,25104,711147,390448,3031,3360.06,24700
Spain,1987,27618,717094,352948,3210.4,4314.02,26500
Spain,1988,25063,717094,352948,3210.4,4314.02,26500
Spain,1989,28173,900796,780719,5139210,47478.9,135080
Spain,1990,27862,832325,1919620,19702200,74002.7,446337
Spain,1991,25279,2343680,12876100,434763,13.87,983144
Spain,1992,25486,999023,7331130,38927.4,49081.2,613112
Spain,1993,29583,363939,11076000,138348,51845.2,625220
Spain,1994,27072,50569.6,10995900,121109,56333.4,3321250
Spain,1995,26917,583126,7325760,40963.6,52543.5,617899
Spain,1996,34206,8017.9,1218600,61000,13.368,766985
Spain,1997,37333,2239220,1254510,5348100,15355.6,624899
Spain,1998,38364,4435130,1254510,5728180,15355.6,624899
Spain,1999,40149,8092.63,1087400,58800,13.902,748435
Spain,2000,41929,2246620,1025360,4393230,26726.9,470814
Spain,2001,44766,1788050,1243050,11064900,50940,321860
Spain,2002,46686,191434,1117140,17627800,64851.7,150379
Spain,2003,45057,191444,1155030,17627400,64851.8,157454
Spain,2004,42093,204674,1264440,20352000,66282.5,150412
Spain,2005,41907,3094460,810606,14571800,58131.4,254648
Spain,2006,42533,5325500,13793.6,6596600,43200.8,343111
Spain,2007,43996,5921070,433328,11024300,51775.2,384479
Spain,2008,38199,5921070,433328,11024300,51775.2,384479
Spain,2009,38432.1,6948370,8227.4,8811880,45162.4,447291
Spain,2010,38640,5234070,13569.2,6652760,43719,353889
Spain,2011,93200,4087000,250836,4405080,58549,265352
Spain,2012,115913,4087000,250836,4405080,58549,265352
Spain,2013,166100,790741,4128100,10474400,58743,10276800
Spain,2014,153156,761311,2151340,4807960,66027.6,5116340
Spain,2015,135449,2292660,1613920,99907.8,118920,5247520
Spain,2016,125860,1799850,25272.6,102444,51605,283521
Spain,2017,161682,1799850,4522600,102444,39390.8,9128970
Spain,2018,183604,1799850,4522600,102444,39390.8,9128970
Spain,2019,191978,1799850,2544600,102444,48174.2,4567170
Spain,2020,192400,1799850,2544600,102444,48174.2,4567170
Spain,2021,248392,700504,28948.2,420400,119713,84572
